original_name,german_translation,meaning
Sphere Space United Hub,Sphärenraum United Hub,"Ein Name, der auf 'United Hub' im Sphärenraum hinweist."
Sphere Space Perennial Conservatory,Sphärenraum Mehrjähriger Wintergarten,"Ein Name, der auf 'Mehrjähriger Wintergarten' im Sphärenraum hinweist."
Sphere Space Bright Laboratory,Sphärenraum Helles Labor,"Ein Name, der auf 'Helles Labor' im Sphärenraum hinweist."
Sphere Space Harmonic Standard,Sphärenraum Harmonischer Standard,"Ein Name, der auf 'Harmonischer Standard' im Sphärenraum hinweist."
Sphere Space Open Signals,Sphärenraum Offene Signale,"Ein Name, der auf 'Offene Signale' im Sphärenraum hinweist."
Sphere Space Passages Network,Sphärenraum Passages Network,"Ein Name, der auf 'Passages Network' im Sphärenraum hinweist."
Sphere Space Universal Initiatives,Sphärenraum Universelle Initiativen,"Ein Name, der auf 'Universelle Initiativen' im Sphärenraum hinweist."
Sphere Space Belts Network,Sphärenraum Gürtelnetz,"Ein Name, der auf 'Gürtelnetz' im Sphärenraum hinweist."
Sphere Space Future Belt,Sphärenraum Zukünftiger Gürtel,"Ein Name, der auf 'Zukünftiger Gürtel' im Sphärenraum hinweist."
Sphere Space Deep Way,Sphärenraum Tiefer Weg,"Ein Name, der auf 'Tiefer Weg' im Sphärenraum hinweist."
Sphere Space Pioneer Sanctum,Sphärenraum Pioneer Sanctum,"Ein Name, der auf 'Pioneer Sanctum' im Sphärenraum hinweist."
Sphere Space True Quay,Sphärenraum Wahrer Kai,"Ein Name, der auf 'Wahrer Kai' im Sphärenraum hinweist."
Sphere Space True Planet,Sphärenraum Wahrer Planet,"Ein Name, der auf 'Wahrer Planet' im Sphärenraum hinweist."
Sphere Space Quiet Crests,Sphärenraum Ruhige Wappen,"Ein Name, der auf 'Ruhige Wappen' im Sphärenraum hinweist."
Sphere Space Frontier Planet,Sphärenraum Frontier Planet,"Ein Name, der auf 'Frontier Planet' im Sphärenraum hinweist."
Sphere Space Resilient Bridge,Sphärenraum Widerstandsfähige Brücke,"Ein Name, der auf 'Widerstandsfähige Brücke' im Sphärenraum hinweist."
Sphere Space Renaissance Foundation,Sphärenraum Renaissance Foundation,"Ein Name, der auf 'Renaissance Foundation' im Sphärenraum hinweist."
Sphere Space Open Harborline,Sphärenraum Offene Hafenlinie,"Ein Name, der auf 'Offene Hafenlinie' im Sphärenraum hinweist."
Sphere Space Terran Voyages,Sphärenraum Terranische Reisen,"Ein Name, der auf 'Terranische Reisen' im Sphärenraum hinweist."
Sphere Space Green Domes,Sphärenraum Grüne Kuppeln,"Ein Name, der auf 'Grüne Kuppeln' im Sphärenraum hinweist."
Sphere Space Stellar Revival,Sphärenraum Sternreinigte Wiederbelebung,"Ein Name, der auf 'Sternreinigte Wiederbelebung' im Sphärenraum hinweist."
Sphere Space Green Campuses,Sphärenraum Grüne Campus,"Ein Name, der auf 'Grüne Campus' im Sphärenraum hinweist."
Sphere Space Pioneer Guild,Sphärenraum Pioneer Guild,"Ein Name, der auf 'Pioneer Guild' im Sphärenraum hinweist."
Sphere Space Hub,Sphärenraum Nabe,"Ein Name, der auf 'Nabe' im Sphärenraum hinweist."
Sphere Space Districts Council,Sphärenraum Bezirksrat,"Ein Name, der auf 'Bezirksrat' im Sphärenraum hinweist."
Sphere Space Arches Commons,Sphärenraum Arches Commons,"Ein Name, der auf 'Arches Commons' im Sphärenraum hinweist."
Sphere Space Eternal Hospitals,Sphärenraum Ewige Krankenhäuser,"Ein Name, der auf 'Ewige Krankenhäuser' im Sphärenraum hinweist."
Sphere Space Pioneer Harbor,Sphärenraum Pioneer Harbor,"Ein Name, der auf 'Pioneer Harbor' im Sphärenraum hinweist."
Sphere Space Civil Anchor,Sphärenraum Bürgeranker,"Ein Name, der auf 'Bürgeranker' im Sphärenraum hinweist."
Sphere Space Perennial Union,Sphärenraum Mehrjährige Vereinigung,"Ein Name, der auf 'Mehrjährige Vereinigung' im Sphärenraum hinweist."
Sphere Space Orbital Programs,Sphärenraum Orbitalprogramme,"Ein Name, der auf 'Orbitalprogramme' im Sphärenraum hinweist."
Sphere Space Future Cities,Sphärenraum Zukünftige Städte,"Ein Name, der auf 'Zukünftige Städte' im Sphärenraum hinweist."
Sphere Space Earthborn Libraries,Sphärenraum Earthborn -Bibliotheken,"Ein Name, der auf 'Earthborn -Bibliotheken' im Sphärenraum hinweist."
Sphere Space Registry Commons,Sphärenraum Registrierungskommons,"Ein Name, der auf 'Registrierungskommons' im Sphärenraum hinweist."
Sphere Space Earthborn Forum,Sphärenraum Earthborn Forum,"Ein Name, der auf 'Earthborn Forum' im Sphärenraum hinweist."
Sphere Space New Forge,Sphärenraum Neue Schmiede,"Ein Name, der auf 'Neue Schmiede' im Sphärenraum hinweist."
Sphere Space Steady Hospital,Sphärenraum Stetiges Krankenhaus,"Ein Name, der auf 'Stetiges Krankenhaus' im Sphärenraum hinweist."
Sphere Space Silver Plazas,Sphärenraum Silver Plazas,"Ein Name, der auf 'Silver Plazas' im Sphärenraum hinweist."
Sphere Space Golden Path,Sphärenraum Goldener Weg,"Ein Name, der auf 'Goldener Weg' im Sphärenraum hinweist."
Sphere Space Harmonic Code,Sphärenraum Harmonischer Code,"Ein Name, der auf 'Harmonischer Code' im Sphärenraum hinweist."
Sphere Space Frontier Lighthouse,Sphärenraum Frontier Lighthouse,"Ein Name, der auf 'Frontier Lighthouse' im Sphärenraum hinweist."
Sphere Space Registry Standards,Sphärenraum Registrierungsstandards,"Ein Name, der auf 'Registrierungsstandards' im Sphärenraum hinweist."
Sphere Space Terran Planet,Sphärenraum Terraner Planet,"Ein Name, der auf 'Terraner Planet' im Sphärenraum hinweist."
Sphere Space Humane Harborfront,Sphärenraum Humaner Hafenfront,"Ein Name, der auf 'Humaner Hafenfront' im Sphärenraum hinweist."
Sphere Space Green City,Sphärenraum Grüne Stadt,"Ein Name, der auf 'Grüne Stadt' im Sphärenraum hinweist."
Sphere Space Timeless Arboretum,Sphärenraum Zeitloser Arboretum,"Ein Name, der auf 'Zeitloser Arboretum' im Sphärenraum hinweist."
Sphere Space Meshes Network,Sphärenraum Netzwerk meshes,"Ein Name, der auf 'Netzwerk meshes' im Sphärenraum hinweist."
Sphere Space Deep Square,Sphärenraum Tiefes Quadrat,"Ein Name, der auf 'Tiefes Quadrat' im Sphärenraum hinweist."
Sphere Space Enduring Star,Sphärenraum Dauerhafter Stern,"Ein Name, der auf 'Dauerhafter Stern' im Sphärenraum hinweist."
Sphere Space Eternal Arcades,Sphärenraum Ewige Arkaden,"Ein Name, der auf 'Ewige Arkaden' im Sphärenraum hinweist."
Sphere Space Timeless Beacons,Sphärenraum Zeitlose Beacons,"Ein Name, der auf 'Zeitlose Beacons' im Sphärenraum hinweist."
Sphere Space Safe Project,Sphärenraum Sicheres Projekt,"Ein Name, der auf 'Sicheres Projekt' im Sphärenraum hinweist."
Sphere Space Legacy Foundation,Sphärenraum Legacy Foundation,"Ein Name, der auf 'Legacy Foundation' im Sphärenraum hinweist."
Sphere Space Basecamp Council,Sphärenraum Basicamp Council,"Ein Name, der auf 'Basicamp Council' im Sphärenraum hinweist."
Sphere Space Deep Skyline,Sphärenraum Tiefe Skyline,"Ein Name, der auf 'Tiefe Skyline' im Sphärenraum hinweist."
Sphere Space Deep Homes,Sphärenraum Tiefe Häuser,"Ein Name, der auf 'Tiefe Häuser' im Sphärenraum hinweist."
Sphere Space Starlight Commons,Sphärenraum Starlight Commons,"Ein Name, der auf 'Starlight Commons' im Sphärenraum hinweist."
Sphere Space Green Workshop,Sphärenraum Grüne Workshop,"Ein Name, der auf 'Grüne Workshop' im Sphärenraum hinweist."
Sphere Space Prime Manifest,Sphärenraum Prime Manifest,"Ein Name, der auf 'Prime Manifest' im Sphärenraum hinweist."
Sphere Space Solar Commons,Sphärenraum Solar Commons,"Ein Name, der auf 'Solar Commons' im Sphärenraum hinweist."
Sphere Space Garden Council,Sphärenraum Gartenrat,"Ein Name, der auf 'Gartenrat' im Sphärenraum hinweist."
Sphere Space Dome Standards,Sphärenraum Kuppelstandards,"Ein Name, der auf 'Kuppelstandards' im Sphärenraum hinweist."
Sphere Space Park Foundation,Sphärenraum Park Foundation,"Ein Name, der auf 'Park Foundation' im Sphärenraum hinweist."
Sphere Space Lasting Alliance,Sphärenraum Dauerhafte Allianz,"Ein Name, der auf 'Dauerhafte Allianz' im Sphärenraum hinweist."
Sphere Space Program Council,Sphärenraum Programmrat,"Ein Name, der auf 'Programmrat' im Sphärenraum hinweist."
Sphere Space Passage Standards,Sphärenraum Durchgangsstandards,"Ein Name, der auf 'Durchgangsstandards' im Sphärenraum hinweist."
Sphere Space Agoras Alliance,Sphärenraum Agoras Alliance,"Ein Name, der auf 'Agoras Alliance' im Sphärenraum hinweist."
Sphere Space Ports,Sphärenraum Ports,"Ein Name, der auf 'Ports' im Sphärenraum hinweist."
Sphere Space Public Outpost,Sphärenraum Öffentlicher Außenposten,"Ein Name, der auf 'Öffentlicher Außenposten' im Sphärenraum hinweist."
Sphere Space Eternal Unions,Sphärenraum Ewige Gewerkschaften,"Ein Name, der auf 'Ewige Gewerkschaften' im Sphärenraum hinweist."
Sphere Space Enduring Skies,Sphärenraum Denner Himmel,"Ein Name, der auf 'Denner Himmel' im Sphärenraum hinweist."
Sphere Space Bright Program,Sphärenraum Helles Programm,"Ein Name, der auf 'Helles Programm' im Sphärenraum hinweist."
Sphere Space Galleries Trust,Sphärenraum Galerien vertrauen,"Ein Name, der auf 'Galerien vertrauen' im Sphärenraum hinweist."
Sphere Space Timeless Archives,Sphärenraum Zeitlose Archive,"Ein Name, der auf 'Zeitlose Archive' im Sphärenraum hinweist."
Sphere Space Global Labs,Sphärenraum Globale Labors,"Ein Name, der auf 'Globale Labors' im Sphärenraum hinweist."
Sphere Space Secure Renaissance,Sphärenraum Sichern Sie die Renaissance,"Ein Name, der auf 'Sichern Sie die Renaissance' im Sphärenraum hinweist."
Sphere Space Calm Hubs,Sphärenraum Ruhige Hubs,"Ein Name, der auf 'Ruhige Hubs' im Sphärenraum hinweist."
Sphere Space Next Arches,Sphärenraum Nächste Bögen,"Ein Name, der auf 'Nächste Bögen' im Sphärenraum hinweist."
Sphere Space Terran Beacons,Sphärenraum Terranische Beacons,"Ein Name, der auf 'Terranische Beacons' im Sphärenraum hinweist."
Sphere Space Silver Clusters,Sphärenraum Silbercluster,"Ein Name, der auf 'Silbercluster' im Sphärenraum hinweist."
Sphere Space Interorbital Court,Sphärenraum Interorbitaler Gerichtshof,"Ein Name, der auf 'Interorbitaler Gerichtshof' im Sphärenraum hinweist."
Sphere Space Public Skyline,Sphärenraum Öffentliche Skyline,"Ein Name, der auf 'Öffentliche Skyline' im Sphärenraum hinweist."
Sphere Space Project Program,Sphärenraum Projektprogramm,"Ein Name, der auf 'Projektprogramm' im Sphärenraum hinweist."
Sphere Space Pioneer Terrace,Sphärenraum Pionierterrasse,"Ein Name, der auf 'Pionierterrasse' im Sphärenraum hinweist."
Sphere Space Global Factories,Sphärenraum Globale Fabriken,"Ein Name, der auf 'Globale Fabriken' im Sphärenraum hinweist."
Sphere Space Orbital Galleries,Sphärenraum Orbitalgalerien,"Ein Name, der auf 'Orbitalgalerien' im Sphärenraum hinweist."
Sphere Space Quiet Harbors,Sphärenraum Ruhige Häfen,"Ein Name, der auf 'Ruhige Häfen' im Sphärenraum hinweist."
Sphere Space Quiet Basecamps,Sphärenraum Ruhige Basisabschlüsse,"Ein Name, der auf 'Ruhige Basisabschlüsse' im Sphärenraum hinweist."
Sphere Space Eternal Union,Sphärenraum Ewige Vereinigung,"Ein Name, der auf 'Ewige Vereinigung' im Sphärenraum hinweist."
Sphere Space Universal Harborfront,Sphärenraum Universal Harborfront,"Ein Name, der auf 'Universal Harborfront' im Sphärenraum hinweist."
Sphere Space Safe Ports,Sphärenraum Sichere Ports,"Ein Name, der auf 'Sichere Ports' im Sphärenraum hinweist."
Sphere Space Blue Shelters,Sphärenraum Blaue Unterkünfte,"Ein Name, der auf 'Blaue Unterkünfte' im Sphärenraum hinweist."
Sphere Space Calm Standard,Sphärenraum Ruhiger Standard,"Ein Name, der auf 'Ruhiger Standard' im Sphärenraum hinweist."
Sphere Space True Foundries,Sphärenraum Wahre Gießereien,"Ein Name, der auf 'Wahre Gießereien' im Sphärenraum hinweist."
Sphere Space Golden Exchange,Sphärenraum Goldener Austausch,"Ein Name, der auf 'Goldener Austausch' im Sphärenraum hinweist."
Sphere Space Interorbital Civics,Sphärenraum Interorbitale Staatsbürgerschaft,"Ein Name, der auf 'Interorbitale Staatsbürgerschaft' im Sphärenraum hinweist."
Sphere Space Steady Promenades,Sphärenraum Stetige Promenaden,"Ein Name, der auf 'Stetige Promenaden' im Sphärenraum hinweist."
Sphere Space Orbital Registry,Sphärenraum Orbitalregister,"Ein Name, der auf 'Orbitalregister' im Sphärenraum hinweist."
Sphere Space Enduring Terraces,Sphärenraum Dauerhaft Terrassen,"Ein Name, der auf 'Dauerhaft Terrassen' im Sphärenraum hinweist."
Sphere Space Harbor Council,Sphärenraum Harbor Council,"Ein Name, der auf 'Harbor Council' im Sphärenraum hinweist."
Sphere Space True Lane,Sphärenraum Wahre Lane,"Ein Name, der auf 'Wahre Lane' im Sphärenraum hinweist."
Sphere Space Cityworks Commons,Sphärenraum Cityworks Commons,"Ein Name, der auf 'Cityworks Commons' im Sphärenraum hinweist."
Sphere Space Eternal Star,Sphärenraum Ewiger Stern,"Ein Name, der auf 'Ewiger Stern' im Sphärenraum hinweist."
Sphere Space Square Commons,Sphärenraum Square Commons,"Ein Name, der auf 'Square Commons' im Sphärenraum hinweist."
Sphere Space New Networks,Sphärenraum Neue Netzwerke,"Ein Name, der auf 'Neue Netzwerke' im Sphärenraum hinweist."
Sphere Space Human Observatories,Sphärenraum Menschliche Observatorien,"Ein Name, der auf 'Menschliche Observatorien' im Sphärenraum hinweist."
Sphere Space Resilient Aurora,Sphärenraum Resilient Aurora,"Ein Name, der auf 'Resilient Aurora' im Sphärenraum hinweist."
Sphere Space Quiet Rings,Sphärenraum Ruhige Ringe,"Ein Name, der auf 'Ruhige Ringe' im Sphärenraum hinweist."
Sphere Space Resilient Academies,Sphärenraum Belastbare Akademien,"Ein Name, der auf 'Belastbare Akademien' im Sphärenraum hinweist."
Sphere Space Terrace Council,Sphärenraum Terrassenrat,"Ein Name, der auf 'Terrassenrat' im Sphärenraum hinweist."
Sphere Space City Initiative,Sphärenraum Stadtinitiative,"Ein Name, der auf 'Stadtinitiative' im Sphärenraum hinweist."
Sphere Space Timeless Plazas,Sphärenraum Zeitlose Plätze,"Ein Name, der auf 'Zeitlose Plätze' im Sphärenraum hinweist."
Sphere Space Nexus Commons,Sphärenraum Nexus Commons,"Ein Name, der auf 'Nexus Commons' im Sphärenraum hinweist."
Sphere Space Secure Code,Sphärenraum Sicherer Code,"Ein Name, der auf 'Sicherer Code' im Sphärenraum hinweist."
Sphere Space Global Basecamps,Sphärenraum Globale Basiscamps,"Ein Name, der auf 'Globale Basiscamps' im Sphärenraum hinweist."
Sphere Space Green Sphere,Sphärenraum Grüne Kugel,"Ein Name, der auf 'Grüne Kugel' im Sphärenraum hinweist."
Sphere Space Civil Works,Sphärenraum Zivilarbeiten,"Ein Name, der auf 'Zivilarbeiten' im Sphärenraum hinweist."
Sphere Space Stellar Clusters,Sphärenraum Sterncluster,"Ein Name, der auf 'Sterncluster' im Sphärenraum hinweist."
Sphere Space Balanced Port,Sphärenraum Ausgeglichener Port,"Ein Name, der auf 'Ausgeglichener Port' im Sphärenraum hinweist."
Sphere Space Calm Biosphere,Sphärenraum Ruhige Biosphäre,"Ein Name, der auf 'Ruhige Biosphäre' im Sphärenraum hinweist."
Sphere Space Steady Spheres,Sphärenraum Stetige Kugeln,"Ein Name, der auf 'Stetige Kugeln' im Sphärenraum hinweist."
Sphere Space Prime Cities,Sphärenraum Hauptstädte,"Ein Name, der auf 'Hauptstädte' im Sphärenraum hinweist."
Sphere Space Open Corridor,Sphärenraum Offener Korridor,"Ein Name, der auf 'Offener Korridor' im Sphärenraum hinweist."
Sphere Space Orbital Skylines,Sphärenraum Orbital -Skylines,"Ein Name, der auf 'Orbital -Skylines' im Sphärenraum hinweist."
Sphere Space Project Standards,Sphärenraum Projektstandards,"Ein Name, der auf 'Projektstandards' im Sphärenraum hinweist."
Sphere Space New Array,Sphärenraum Neuanlage,"Ein Name, der auf 'Neuanlage' im Sphärenraum hinweist."
Sphere Space Quiet Alliance,Sphärenraum Ruhige Allianz,"Ein Name, der auf 'Ruhige Allianz' im Sphärenraum hinweist."
Sphere Space Balanced Fellowships,Sphärenraum Ausgewogene Gemeinschaft,"Ein Name, der auf 'Ausgewogene Gemeinschaft' im Sphärenraum hinweist."
Sphere Space New Horizons,Sphärenraum Neue Horizonte,"Ein Name, der auf 'Neue Horizonte' im Sphärenraum hinweist."
Sphere Space Free Ring,Sphärenraum Freier Ring,"Ein Name, der auf 'Freier Ring' im Sphärenraum hinweist."
Sphere Space Stellar Playbook,Sphärenraum Stellarer Spielbuch,"Ein Name, der auf 'Stellarer Spielbuch' im Sphärenraum hinweist."
Sphere Space Calm Charters,Sphärenraum Ruhige Chartas,"Ein Name, der auf 'Ruhige Chartas' im Sphärenraum hinweist."
Sphere Space Steady Star,Sphärenraum Stetiger Stern,"Ein Name, der auf 'Stetiger Stern' im Sphärenraum hinweist."
Sphere Space Calm Workshop,Sphärenraum Ruhige Workshop,"Ein Name, der auf 'Ruhige Workshop' im Sphärenraum hinweist."
Sphere Space Global Ledgers,Sphärenraum Globale Ledger,"Ein Name, der auf 'Globale Ledger' im Sphärenraum hinweist."
Sphere Space Blue Grid,Sphärenraum Blaues Netz,"Ein Name, der auf 'Blaues Netz' im Sphärenraum hinweist."
Sphere Space Prime Foundations,Sphärenraum Hauptfundamente,"Ein Name, der auf 'Hauptfundamente' im Sphärenraum hinweist."
Sphere Space Next Array,Sphärenraum Nächstes Array,"Ein Name, der auf 'Nächstes Array' im Sphärenraum hinweist."
Sphere Space Guild Initiative,Sphärenraum Gildeninitiative,"Ein Name, der auf 'Gildeninitiative' im Sphärenraum hinweist."
Sphere Space Golden Beacons,Sphärenraum Goldene Beacons,"Ein Name, der auf 'Goldene Beacons' im Sphärenraum hinweist."
Sphere Space Perennial Network,Sphärenraum Mehrjähriger Netzwerk,"Ein Name, der auf 'Mehrjähriger Netzwerk' im Sphärenraum hinweist."
Sphere Space Earth Sanctuary,Sphärenraum Erdgebiet,"Ein Name, der auf 'Erdgebiet' im Sphärenraum hinweist."
Sphere Space Secure Domes,Sphärenraum Sichere Kuppeln,"Ein Name, der auf 'Sichere Kuppeln' im Sphärenraum hinweist."
Sphere Space Boulevard Standards,Sphärenraum Boulevard -Standards,"Ein Name, der auf 'Boulevard -Standards' im Sphärenraum hinweist."
Sphere Space Fellowship Network,Sphärenraum Stipendiennetzwerk,"Ein Name, der auf 'Stipendiennetzwerk' im Sphärenraum hinweist."
Sphere Space Interorbital Meshes,Sphärenraum Interorbitale Netze,"Ein Name, der auf 'Interorbitale Netze' im Sphärenraum hinweist."
Sphere Space Silver Network,Sphärenraum Silbernetzwerk,"Ein Name, der auf 'Silbernetzwerk' im Sphärenraum hinweist."
Sphere Space Pioneer Array,Sphärenraum Pionierarray,"Ein Name, der auf 'Pionierarray' im Sphärenraum hinweist."
Sphere Space Global Exchange,Sphärenraum Globaler Austausch,"Ein Name, der auf 'Globaler Austausch' im Sphärenraum hinweist."
Sphere Space Universal Green,Sphärenraum Universelles Grün,"Ein Name, der auf 'Universelles Grün' im Sphärenraum hinweist."
Sphere Space Orbital Theaters,Sphärenraum Orbital Theater,"Ein Name, der auf 'Orbital Theater' im Sphärenraum hinweist."
Sphere Space United Stars,Sphärenraum United Stars,"Ein Name, der auf 'United Stars' im Sphärenraum hinweist."
Sphere Space Pioneer Library,Sphärenraum Pionierbibliothek,"Ein Name, der auf 'Pionierbibliothek' im Sphärenraum hinweist."
Sphere Space Steady Forge,Sphärenraum Stetige Schmiede,"Ein Name, der auf 'Stetige Schmiede' im Sphärenraum hinweist."
Sphere Space Lasting Cityworks,Sphärenraum Dauerhafte Stadtarbeiten,"Ein Name, der auf 'Dauerhafte Stadtarbeiten' im Sphärenraum hinweist."
Sphere Space Peaks Standards,Sphärenraum Peaks Standards,"Ein Name, der auf 'Peaks Standards' im Sphärenraum hinweist."
Sphere Space Silver Refuge,Sphärenraum Silberne Zuflucht,"Ein Name, der auf 'Silberne Zuflucht' im Sphärenraum hinweist."
Sphere Space Pioneer Village,Sphärenraum Pionierdorf,"Ein Name, der auf 'Pionierdorf' im Sphärenraum hinweist."
Sphere Space Free Registries,Sphärenraum Kostenlose Registrien,"Ein Name, der auf 'Kostenlose Registrien' im Sphärenraum hinweist."
Sphere Space Free Museum,Sphärenraum Kostenloses Museum,"Ein Name, der auf 'Kostenloses Museum' im Sphärenraum hinweist."
Sphere Space True Pioneers,Sphärenraum Wahre Pioniere,"Ein Name, der auf 'Wahre Pioniere' im Sphärenraum hinweist."
Sphere Space Perennial Harbors,Sphärenraum Mehrjährige Häfen,"Ein Name, der auf 'Mehrjährige Häfen' im Sphärenraum hinweist."
Sphere Space Universal Orbitworks,Sphärenraum Universelle Orbitworks,"Ein Name, der auf 'Universelle Orbitworks' im Sphärenraum hinweist."
Sphere Space Golden Academies,Sphärenraum Goldene Akademien,"Ein Name, der auf 'Goldene Akademien' im Sphärenraum hinweist."
Sphere Space Shelters Standards,Sphärenraum Schutzstandards,"Ein Name, der auf 'Schutzstandards' im Sphärenraum hinweist."
Sphere Space Bright Agoras,Sphärenraum Helle Agoras,"Ein Name, der auf 'Helle Agoras' im Sphärenraum hinweist."
Sphere Space Lasting Terraces,Sphärenraum Dauerhafte Terrassen,"Ein Name, der auf 'Dauerhafte Terrassen' im Sphärenraum hinweist."
Sphere Space Green Habitats,Sphärenraum Grüne Lebensräume,"Ein Name, der auf 'Grüne Lebensräume' im Sphärenraum hinweist."
Sphere Space Global Living,Sphärenraum Globales Leben,"Ein Name, der auf 'Globales Leben' im Sphärenraum hinweist."
Sphere Space Frontier Laboratory,Sphärenraum Grenzlabor,"Ein Name, der auf 'Grenzlabor' im Sphärenraum hinweist."
Sphere Space Promenades Foundation,Sphärenraum Promenades Foundation,"Ein Name, der auf 'Promenades Foundation' im Sphärenraum hinweist."
Sphere Space Pioneer Forges,Sphärenraum Pioneer -Schmieden,"Ein Name, der auf 'Pioneer -Schmieden' im Sphärenraum hinweist."
Sphere Space Perennial Arc,Sphärenraum Mehrjähriger Bogen,"Ein Name, der auf 'Mehrjähriger Bogen' im Sphärenraum hinweist."
Sphere Space Blue Boulevard,Sphärenraum Blue Boulevard,"Ein Name, der auf 'Blue Boulevard' im Sphärenraum hinweist."
Sphere Space Golden Campuses,Sphärenraum Goldene Campus,"Ein Name, der auf 'Goldene Campus' im Sphärenraum hinweist."
Sphere Space Lasting Arrays,Sphärenraum Dauerhafte Arrays,"Ein Name, der auf 'Dauerhafte Arrays' im Sphärenraum hinweist."
Sphere Space Perennial Domes,Sphärenraum Mehrjährige Kuppeln,"Ein Name, der auf 'Mehrjährige Kuppeln' im Sphärenraum hinweist."
Sphere Space Civil Clusters,Sphärenraum Zivilcluster,"Ein Name, der auf 'Zivilcluster' im Sphärenraum hinweist."
Sphere Space United Atrium,Sphärenraum United Atrium,"Ein Name, der auf 'United Atrium' im Sphärenraum hinweist."
Sphere Space Revival Trust,Sphärenraum Wiederbelebungsvertrauen,"Ein Name, der auf 'Wiederbelebungsvertrauen' im Sphärenraum hinweist."
Sphere Space True Operas,Sphärenraum Wahre Opern,"Ein Name, der auf 'Wahre Opern' im Sphärenraum hinweist."
Sphere Space Deep Civic,Sphärenraum Tiefe Bürger,"Ein Name, der auf 'Tiefe Bürger' im Sphärenraum hinweist."
Sphere Space Silver Dome,Sphärenraum Silberkuppel,"Ein Name, der auf 'Silberkuppel' im Sphärenraum hinweist."
Sphere Space Common Trusts,Sphärenraum Gemeinsame Trusts,"Ein Name, der auf 'Gemeinsame Trusts' im Sphärenraum hinweist."
Sphere Space Lighthouse Foundation,Sphärenraum Lighthouse Foundation,"Ein Name, der auf 'Lighthouse Foundation' im Sphärenraum hinweist."
Sphere Space Alliances Trust,Sphärenraum Allianzen Vertrauen,"Ein Name, der auf 'Allianzen Vertrauen' im Sphärenraum hinweist."
Sphere Space Sancta Foundation,Sphärenraum Sanfta Foundation,"Ein Name, der auf 'Sanfta Foundation' im Sphärenraum hinweist."
Sphere Space Enduring Arcades,Sphärenraum Dauerhafte Arkaden,"Ein Name, der auf 'Dauerhafte Arkaden' im Sphärenraum hinweist."
Sphere Space Steady Cooperatives,Sphärenraum Stetige Genossenschaften,"Ein Name, der auf 'Stetige Genossenschaften' im Sphärenraum hinweist."
Sphere Space Endowments Network,Sphärenraum Stiftungsnetzwerk,"Ein Name, der auf 'Stiftungsnetzwerk' im Sphärenraum hinweist."
Sphere Space Universal Lane,Sphärenraum Universal Lane,"Ein Name, der auf 'Universal Lane' im Sphärenraum hinweist."
Sphere Space Worlds Trust,Sphärenraum Welten vertrauen,"Ein Name, der auf 'Welten vertrauen' im Sphärenraum hinweist."
Sphere Space Civic Nursery,Sphärenraum Civic Nursery,"Ein Name, der auf 'Civic Nursery' im Sphärenraum hinweist."
Sphere Space Perennial Council,Sphärenraum Mehrjähriger Rat,"Ein Name, der auf 'Mehrjähriger Rat' im Sphärenraum hinweist."
Sphere Space Quiet Suns,Sphärenraum Ruhige Sonnen,"Ein Name, der auf 'Ruhige Sonnen' im Sphärenraum hinweist."
Sphere Space Solar Frontier,Sphärenraum Solargrenze,"Ein Name, der auf 'Solargrenze' im Sphärenraum hinweist."
Sphere Space Pioneer Boulevard,Sphärenraum Pioneer Boulevard,"Ein Name, der auf 'Pioneer Boulevard' im Sphärenraum hinweist."
Sphere Space Terran Hangars,Sphärenraum Terranische Hangars,"Ein Name, der auf 'Terranische Hangars' im Sphärenraum hinweist."
Sphere Space Living Depots,Sphärenraum Lebende Depots,"Ein Name, der auf 'Lebende Depots' im Sphärenraum hinweist."
Sphere Space Global Project,Sphärenraum Globales Projekt,"Ein Name, der auf 'Globales Projekt' im Sphärenraum hinweist."
Sphere Space Lasting Array,Sphärenraum Dauerhaftes Array,"Ein Name, der auf 'Dauerhaftes Array' im Sphärenraum hinweist."
Sphere Space Civil Initiatives,Sphärenraum Zivilinitiativen,"Ein Name, der auf 'Zivilinitiativen' im Sphärenraum hinweist."
Sphere Space Stellar Ports,Sphärenraum Sternhäfen,"Ein Name, der auf 'Sternhäfen' im Sphärenraum hinweist."
Sphere Space Meshes Commons,Sphärenraum Meshes Commons,"Ein Name, der auf 'Meshes Commons' im Sphärenraum hinweist."
Sphere Space Anchorpoints Standards,Sphärenraum Anchorpoints Standards,"Ein Name, der auf 'Anchorpoints Standards' im Sphärenraum hinweist."
Sphere Space Lasting Revival,Sphärenraum Bleibende Wiederbelebung,"Ein Name, der auf 'Bleibende Wiederbelebung' im Sphärenraum hinweist."
Sphere Space Enduring Standard,Sphärenraum Dauerhaft Standard,"Ein Name, der auf 'Dauerhaft Standard' im Sphärenraum hinweist."
Sphere Space Deep Sancta,Sphärenraum Tiefes Sanftmut,"Ein Name, der auf 'Tiefes Sanftmut' im Sphärenraum hinweist."
Sphere Space Golden Playbooks,Sphärenraum Goldene Spielbücher,"Ein Name, der auf 'Goldene Spielbücher' im Sphärenraum hinweist."
Sphere Space Blue Arcs,Sphärenraum Blaue Bögen,"Ein Name, der auf 'Blaue Bögen' im Sphärenraum hinweist."
Sphere Space Living Highways,Sphärenraum Lebende Autobahnen,"Ein Name, der auf 'Lebende Autobahnen' im Sphärenraum hinweist."
